Country,Total,PerCapita,Population,Total-Z,PerCapita-Z,Combined-Z_Total_PerCapita,MDI,Year
NOR,430,8.040545291082699e-05,5347896,-0.29560746985775144,0.8954412372515901,0.5998337673938386,32,2019
NZL,172,3.454370179948586e-05,4979200,-0.3531883341733133,-0.5827999688647892,-0.9359883030381025,14,2019
POL,1376,3.6243455402573e-05,37965475,-0.0844776340340244,-0.5280125751120278,-0.6124902091460522,18,2019
PRT,501,4.870573501766385e-05,10286263,-0.27976157308874017,-0.12632151877955738,-0.40608309186829755,20,2019
ROU,1115,5.755834506181405e-05,19371648,-0.1427280432834882,0.15902068102376551,0.01629263774027731,25,2019
SVK,510,9.350683067398074e-05,5454147,-0.2777529382870345,1.3177320568797455,1.039979118592711,37,2019
SVN,326,0.00015610148511888372,2088385,-0.31881836089968335,3.3353174137587516,3.0164990528590683,61,2019
TUR,1189,1.4251535429143278e-05,83429607,-0.1262126015805751,-1.23686824500158,-1.3630808465821551,9,2019
USA,25996,7.917644967347832e-05,328329953,5.4102544568540925,0.8558273284087162,6.266081785262808,100,2019
ALB,154,5.426645321861734e-05,2837849,-0.5150381336435755,0.1165118009864641,-0.39852633265711146,28,2020
AUS,864,3.3627486920989845e-05,25693267,-0.22567421566959345,-0.5206615518342471,-0.7463357675038406,22,2020
BEL,253,2.1915689390060377e-05,11544241,-0.4746902070528372,-0.8822322425716745,-1.3569224496245118,12,2020
BGR,199,2.8699101458534486e-05,6934015,-0.4966981670114217,-0.6728123836065977,-1.1695105506180195,15,2020
CAN,1319,3.4676576122682416e-05,38037204,-0.04023677527781621,-0.48827370476812254,-0.5285104800459387,26,2020
CZE,407,3.804499928864264e-05,10697858,-0.41192676568946646,-0.3842825721007587,-0.7962093377902252,21,2020
DEU,2964,3.5641762337963006e-05,83160871,0.6301908938309169,-0.45847613990861885,0.171714753922298,37,2020
DNK,624,0.00010700682031291263,5831404,-0.3234873710410804,1.744730775031216,1.4212434039901356,57,2020
ESP,2028,4.281785485123023e-05,47363419,0.248719587882118,-0.2369333135435362,0.011786274338581815,34,2020
EST,172,0.00012937398785539298,1329479,-0.507702146990714,2.4352577583415704,1.9275556113508565,65,2020
FRA,6027,8.944802952239115e-05,67379908,1.8785312892595183,1.2026496728027536,3.081180962062272,83,2020
GBR,3226,4.8091113728179364e-05,67081000,0.7369702551114568,-0.07413542965419148,0.6628348254572652,45,2020
GRC,277,2.5886505336732036e-05,10700556,-0.4649088915156885,-0.7596438302602706,-1.224552721775959,15,2020
HRV,213,5.2622736975254964e-05,4047680,-0.49099239961475166,0.06576642087556864,-0.425225978739183,27,2020
HUN,721,7.394758787788781e-05,9750149,-0.2839545540784377,0.7241146420068895,0.44016008792845174,41,2020
ITA,4684,7.87895251042115e-05,59449527,1.3311851739932397,0.8735966137371659,2.2047817877304055,69,2020
